level,slice_index,dice,iou,precision,recall,gt_area,pred_area,box_area
slice,0,0.94069599251255,0.8880321285140562,0.9242601571643538,0.9577269577269577,11544,11962,19040
slice,1,0.956552791334365,0.9167237052247319,0.9456342668863262,0.9677263969171483,12456,12747,19722
slice,2,0.966946863945837,0.9360088365243004,0.9624441584008481,0.9714918985019871,13084,13207,19549
slice,3,0.9712031860304817,0.9440184619965756,0.9876937456188176,0.9552542372881356,13275,12839,18870
slice,4,0.9770514603616134,0.9551325628823929,0.9983420180009475,0.9566500226963232,13218,12666,18704
slice,5,0.9635153556250501,0.9295992573108464,0.9995840612261875,0.9299589815029796,12921,12021,18368
slice,6,0.9670697518724632,0.936239163898566,0.9997404619776797,0.9364667747163695,12340,11559,17767
slice,7,0.9686321487199965,0.9391723307235653,0.9937187073281748,0.9447810282153367,11554,10985,16380
slice,8,0.9699266151853806,0.9416092382194077,0.9927344133529701,0.9481432858214554,10664,10185,15688
slice,9,0.9773036293274762,0.9556146451217018,0.9843042241651744,0.9704019108941738,9629,9493,15052
slice,10,0.975766778013969,0.9526802656546489,0.99776425288784,0.9547183265985263,8414,8051,13167
slice,11,0.9764645501869639,0.9540114613180516,0.9941773663780233,0.9593718484368247,6941,6698,10800
overall,all_non_empty_slices,0.9668880586173371,0.9358986377829539,0.980130349739074,0.9539988238753307,136040,132413,
