subject,slice_index,slice_position,slice_fraction,dice,iou,precision,recall,hausdorff,mask_area,pred_area,box_area,x_min,y_min,x_max,y_max
sub-001,0,0,0.0,0.94069599251255,0.8880321285140562,0.9242601571643538,0.9577269577269577,15.811388300841896,11544.0,11962.0,19040.0,85,47,197,217
sub-001,1,1,0.09090909090909091,0.956552791334365,0.9167237052247319,0.9456342668863262,0.9677263969171483,14.7648230602334,12456.0,12747.0,19722.0,84,45,198,218
sub-001,2,2,0.18181818181818182,0.9669100867183934,0.9359399160592003,0.9623712901271957,0.9714918985019871,13.601470508735444,13084.0,13208.0,19549.0,84,45,197,218
sub-001,3,3,0.2727272727272727,0.9712031860304817,0.9440184619965756,0.9876937456188176,0.9552542372881356,9.433981132056603,13275.0,12839.0,18870.0,85,47,196,217
sub-001,4,4,0.36363636363636365,0.9770514603616134,0.9551325628823929,0.9983420180009475,0.9566500226963232,5.385164807134504,13218.0,12666.0,18704.0,84,47,196,214
sub-001,5,5,0.45454545454545453,0.9635153556250501,0.9295992573108464,0.9995840612261875,0.9299589815029796,9.848857801796104,12921.0,12021.0,18368.0,85,49,197,213
sub-001,6,6,0.5454545454545454,0.9670697518724632,0.936239163898566,0.9997404619776797,0.9364667747163695,9.219544457292887,12340.0,11559.0,17767.0,86,49,195,212
sub-001,7,7,0.6363636363636364,0.9686321487199965,0.9391723307235653,0.9937187073281748,0.9447810282153367,6.0,11554.0,10985.0,16380.0,87,53,192,209
sub-001,8,8,0.7272727272727273,0.9699266151853806,0.9416092382194077,0.9927344133529701,0.9481432858214554,5.0990195135927845,10664.0,10185.0,15688.0,87,57,193,205
sub-001,9,9,0.8181818181818182,0.9773036293274762,0.9556146451217018,0.9843042241651744,0.9704019108941738,6.4031242374328485,9629.0,9493.0,15052.0,85,59,191,201
sub-001,10,10,0.9090909090909091,0.975766778013969,0.9526802656546489,0.99776425288784,0.9547183265985263,4.47213595499958,8414.0,8051.0,13167.0,87,64,186,197
sub-001,11,11,1.0,0.9764645501869639,0.9540114613180516,0.9941773663780233,0.9593718484368247,4.242640687119285,6941.0,6698.0,10800.0,87,71,177,191
sub-002,0,0,0.0,0.9450530492538601,0.8958299264104661,0.9361702127659575,0.9541060698423757,15.556349186104045,11483.0,11703.0,17985.0,93,46,202,211
sub-002,1,1,0.09090909090909091,0.953888395380764,0.9118419021151768,0.9381304106107538,0.9701848049281314,14.7648230602334,12175.0,12591.0,18426.0,91,45,202,211
sub-002,2,2,0.18181818181818182,0.967583764641787,0.9372031662269129,0.9532280325103512,0.9823785065191624,13.416407864998739,12655.0,13042.0,18592.0,90,45,202,211
sub-002,3,3,0.2727272727272727,0.9751382314332312,0.9514826890234436,0.9944827586206897,0.9565319182144529,5.0,12814.0,12325.0,18532.0,89,45,202,209
sub-002,4,4,0.36363636363636365,0.9773295683743445,0.9556642473966551,0.9986809563066776,0.956872037914692,4.47213595499958,12660.0,12130.0,17820.0,90,46,200,208
