subject_id,slice_index,gt_area,total_components,retained_components,discarded_components,discarded_component_area,single_box_x_min,single_box_y_min,single_box_x_max,single_box_y_max,component_boxes_xyxy,single_pred_area,multibox_pred_area,single_dice,single_iou,single_precision,single_recall,single_hausdorff_px,multibox_dice,multibox_iou,multibox_precision,multibox_recall,multibox_hausdorff_px,dice_change
sub-086,4,17,1,1,0,0,84,81,103,94,"84,81,103,94",124,124,0.24113475177304963,0.13709677419354838,0.13709677419354838,1.0,6.0,0.24113475177304963,0.13709677419354838,0.13709677419354838,1.0,6.0,0.0
sub-086,5,569,2,2,0,0,71,57,108,100,"73,57,107,79;71,74,108,100",898,928,0.7511929107021131,0.601528384279476,0.6135857461024499,0.968365553602812,7.810249675906654,0.7508350033400134,0.6010695187165775,0.6056034482758621,0.9876977152899824,6.708203932499369,-0.00035790736209972973
sub-086,6,1260,2,2,0,0,63,54,133,103,"63,54,111,103;111,67,133,89",2220,1564,0.7126436781609196,0.5535714285714286,0.5585585585585585,0.9841269841269841,15.0,0.8746458923512748,0.777218376337319,0.7896419437340153,0.9801587301587301,6.708203932499369,0.1620022141903552
sub-086,7,1979,1,1,0,0,59,51,137,105,"59,51,137,105",2545,2545,0.8660477453580901,0.7637426900584795,0.7697445972495088,0.9898938858009095,11.180339887498949,0.8660477453580901,0.7637426900584795,0.7697445972495088,0.9898938858009095,11.180339887498949,0.0
sub-086,8,2526,1,1,0,0,55,49,138,107,"55,49,138,107",2481,2481,0.9522668264429798,0.9088829584445292,0.9609028617492946,0.943784639746635,4.47213595499958,0.9522668264429798,0.9088829584445292,0.9609028617492946,0.943784639746635,4.47213595499958,0.0
sub-086,9,3001,1,1,0,0,50,47,139,108,"50,47,139,108",2707,2707,0.9407848633496847,0.8881905391994708,0.9918729220539343,0.894701766077974,7.0710678118654755,0.9407848633496847,0.8881905391994708,0.9918729220539343,0.894701766077974,7.0710678118654755,0.0
sub-086,10,3441,1,1,0,0,44,46,140,109,"44,46,140,109",3121,3121,0.9439195367266078,0.8937950937950938,0.9923101570009613,0.9000290613193839,5.0,0.9439195367266078,0.8937950937950938,0.9923101570009613,0.9000290613193839,5.0,0.0
sub-086,11,3904,1,1,0,0,36,45,141,110,"36,45,141,110",3515,3515,0.9464887451138968,0.8984135107471852,0.9988620199146515,0.8993340163934426,7.0710678118654755,0.9464887451138968,0.8984135107471852,0.9988620199146515,0.8993340163934426,7.0710678118654755,0.0
sub-086,12,4330,1,1,0,0,33,44,141,111,"33,44,141,111",3959,3959,0.9550006032090723,0.9138767028399908,0.9997474109623642,0.9140877598152425,4.0,0.9550006032090723,0.9138767028399908,0.9997474109623642,0.9140877598152425,4.0,0.0
sub-086,13,4682,1,1,0,0,31,42,142,112,"31,42,142,112",4391,4391,0.9679268158271795,0.9378470739000427,1.0,0.9378470739000427,3.0,0.9679268158271795,0.9378470739000427,1.0,0.9378470739000427,3.0,0.0
sub-086,14,4944,1,1,0,0,30,42,142,113,"30,42,142,113",4684,4684,0.972787702534275,0.9470171890798786,0.9997865072587532,0.9472087378640777,3.0,0.972787702534275,0.9470171890798786,0.9997865072587532,0.9472087378640777,3.0,0.0
sub-086,15,5202,2,2,0,0,13,41,142,114,"29,41,142,114;13,73,32,87",4957,5023,0.975292843783837,0.9517771373679155,0.9993947952390558,0.9523260284505959,16.1245154965971,0.96880195599022,0.9394916540212443,0.9860641051164643,0.9521337946943483,4.123105625617661,-0.006490887793616951
sub-086,16,5620,1,1,0,0,10,40,143,115,"10,40,143,115",5292,5292,0.968841642228739,0.9395662993245645,0.9988662131519275,0.9405693950177936,3.1622776601683795,0.968841642228739,0.9395662993245645,0.9988662131519275,0.9405693950177936,3.1622776601683795,0.0
sub-086,17,5885,1,1,0,0,7,39,143,115,"7,39,143,115",5569,5569,0.9720621616902392,0.9456429420757602,0.9996408690967857,0.945964316057774,3.605551275463989,0.9720621616902392,0.9456429420757602,0.9996408690967857,0.945964316057774,3.605551275463989,0.0
sub-086,18,6081,1,1,0,0,6,38,143,116,"6,38,143,116",5803,5803,0.9745876809155166,0.9504349253241424,0.9979321040840944,0.9523104752507812,3.605551275463989,0.9745876809155166,0.9504349253241424,0.9979321040840944,0.9523104752507812,3.605551275463989,0.0
sub-086,19,6238,1,1,0,0,6,38,143,116,"6,38,143,116",5965,5965,0.9768089813980169,0.9546692295370816,0.9991617770326907,0.9554344341134979,3.0,0.9768089813980169,0.9546692295370816,0.9991617770326907,0.9554344341134979,3.0,0.0
sub-086,20,6365,1,1,0,0,5,37,143,117,"5,37,143,117",6068,6068,0.9661385023727178,0.9344950988019294,0.9897824653922215,0.9435978004713276,25.495097567963924,0.9661385023727178,0.9344950988019294,0.9897824653922215,0.9435978004713276,25.495097567963924,0.0
sub-086,21,6484,1,1,0,0,5,37,143,117,"5,37,143,117",6159,6159,0.9733449339555486,0.9480739599383667,0.9990258158792011,0.9489512646514497,13.038404810405298,0.9733449339555486,0.9480739599383667,0.9990258158792011,0.9489512646514497,13.038404810405298,0.0
sub-086,22,6566,1,1,0,0,5,37,143,117,"5,37,143,117",6276,6276,0.9774178476872761,0.9558330795004569,1.0,0.9558330795004569,3.605551275463989,0.9774178476872761,0.9558330795004569,1.0,0.9558330795004569,3.605551275463989,0.0
sub-086,23,6646,1,1,0,0,5,36,144,118,"5,36,144,118",6308,6308,0.973290103442952,0.9479699248120301,0.9993658845909955,0.9485404754739694,11.661903789690601,0.973290103442952,0.9479699248120301,0.9993658845909955,0.9485404754739694,11.661903789690601,0.0
sub-086,24,6711,1,1,0,0,5,36,144,118,"5,36,144,118",6400,6400,0.9749065670048052,0.9510416666666667,0.99859375,0.9523170913425719,3.0,0.9749065670048052,0.9510416666666667,0.99859375,0.9523170913425719,3.0,0.0
sub-086,25,6758,1,1,0,0,5,36,144,118,"5,36,144,118",6462,6462,0.9767019667170953,0.9544648137196925,0.9990714948932219,0.9553122225510506,2.8284271247461903,0.9767019667170953,0.9544648137196925,0.9990714948932219,0.9553122225510506,2.8284271247461903,0.0
sub-086,26,6776,1,1,0,0,4,36,144,118,"4,36,144,118",6470,6470,0.9744828627510191,0.9502355712603062,0.9975270479134467,0.9524793388429752,3.605551275463989,0.9744828627510191,0.9502355712603062,0.9975270479134467,0.9524793388429752,3.605551275463989,0.0
sub-086,27,6804,1,1,0,0,4,36,144,118,"4,36,144,118",6423,6423,0.9693808119755046,0.940580985915493,0.9981317141522653,0.9422398589065256,5.385164807134504,0.9693808119755046,0.940580985915493,0.9981317141522653,0.9422398589065256,5.385164807134504,0.0
sub-086,28,6840,1,1,0,0,4,36,144,119,"4,36,144,119",6446,6446,0.9692909829896131,0.9404118592084124,0.9989140552280484,0.941374269005848,6.708203932499369,0.9692909829896131,0.9404118592084124,0.9989140552280484,0.941374269005848,6.708203932499369,0.0
sub-086,29,6858,1,1,0,0,4,36,144,119,"4,36,144,119",6421,6421,0.9649823028842534,0.9323341094295693,0.9978196542594612,0.9342373869932925,7.615773105863909,0.9649823028842534,0.9323341094295693,0.9978196542594612,0.9342373869932925,7.615773105863909,0.0
sub-086,30,6855,1,1,0,0,5,36,144,119,"5,36,144,119",6489,6489,0.9715227817745803,0.9446225590206937,0.9989212513484358,0.9455871626549963,5.830951894845301,0.9715227817745803,0.9446225590206937,0.9989212513484358,0.9455871626549963,5.830951894845301,0.0
sub-086,31,6822,1,1,0,0,5,36,144,119,"5,36,144,119",6492,6492,0.9729607931500676,0.9473453268977622,0.9976894639556377,0.9494283201407212,6.4031242374328485,0.9729607931500676,0.9473453268977622,0.9976894639556377,0.9494283201407212,6.4031242374328485,0.0
sub-086,32,6790,1,1,0,0,6,36,144,119,"6,36,144,119",6482,6482,0.9760397830018083,0.9532008830022075,0.9992286331379204,0.9539027982326952,5.830951894845301,0.9760397830018083,0.9532008830022075,0.9992286331379204,0.9539027982326952,5.830951894845301,0.0
