preprocessing,box_margin_px,n_slices,mean_dice,mean_iou,mean_precision,mean_recall,mean_hausdorff_px
percentile,0,1,0.9353147610588796,0.8784894604053064,0.9355985091444916,0.935031185031185,15.652475842498529
percentile,2,1,0.9367185833155537,0.8809695802231319,0.9230510470103439,0.9507969507969508,16.1245154965971
percentile,5,1,0.94069599251255,0.8880321285140562,0.9242601571643538,0.9577269577269577,15.811388300841896
percentile,10,1,0.9379652605459057,0.883177570093458,0.9115507234529551,0.965956340956341,19.209372712298546
percentile,15,1,0.9107056353948005,0.8360509931811444,0.8527366192924101,0.9771309771309772,25.80697580112788
percentile,20,1,0.8872345427474336,0.7973239436619718,0.8099871226212619,0.9807692307692307,29.154759474226502
zscore,0,1,0.9390325606324534,0.8850719878757262,0.9692946058091286,0.9106029106029107,14.422205101855956
zscore,2,1,0.9358144321056467,0.8793714746172442,0.9264793276169454,0.9453395703395704,16.1245154965971
zscore,5,1,0.9412718044952446,0.8890589751853045,0.9270772074266992,0.9559078309078309,15.811388300841896
zscore,10,1,0.9401341602328819,0.8870312873178887,0.9163582531458179,0.9651767151767152,20.518284528683193
zscore,15,1,0.9093050647820966,0.8336933045356372,0.8560067293721801,0.9696812196812197,26.627053911388696
zscore,20,1,0.8762866576034182,0.7798133425509851,0.7943102598408562,0.9771309771309772,30.01666203960727
minmax,0,1,0.9405724553972532,0.8878119699539617,0.9292416941415166,0.9521829521829522,15.652475842498529
minmax,2,1,0.9401586157173756,0.8870748299319728,0.9209804736186123,0.9601524601524601,15.811388300841896
minmax,5,1,0.944685878232986,0.8951703182472414,0.920868635354117,0.9697678447678447,15.811388300841896
minmax,10,1,0.9314956107966199,0.8717751842751843,0.8846813152563503,0.9835412335412336,20.0
minmax,15,1,0.9014251312620899,0.8205404628431795,0.8280989337781969,0.988998613998614,25.80697580112788
minmax,20,1,0.8723550530899091,0.773607912207018,0.7801612242109578,0.9892584892584892,28.635642126552707
whitestripe_if_available,0,1,0.9347576286334426,0.877506991610068,0.918765163557266,0.9513167013167013,15.652475842498529
whitestripe_if_available,2,1,0.9342635272621569,0.8766365336658354,0.8972640982691233,0.9744455994455995,16.64331697709324
whitestripe_if_available,5,1,0.9288781644922498,0.867201221840397,0.8798326489501821,0.9837144837144837,16.64331697709324
whitestripe_if_available,10,1,0.8904279192138048,0.8024966873561615,0.804572787022794,0.9967948717948718,17.204650534085253
whitestripe_if_available,15,1,0.8480817286491253,0.7362342882664454,0.7364692366607097,0.9995668745668745,18.788294228055936
whitestripe_if_available,20,1,0.8084882865847253,0.6785399400458473,0.6785399400458473,1.0,35.4682957019364
